algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.414213562373095,1,0.10570001904852688,19,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.024200009647756815,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.014899997040629387,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.01850002445280552,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.015099998563528061,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.019099999917671084,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.039000005926936865,10,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
astar,1,2.0,0,0.020000006770715117,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
weighted_astar,1,2.0,0,0.011900003300979733,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
improved_astar,1,2.0,0,0.025200017262250185,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.013599987141788006,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.014299992471933365,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
dijkstra,1,0.0,0,0.001100008375942707,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
astar,1,0.0,0,0.000500003807246685,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
weighted_astar,1,0.0,0,0.000400003045797348,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
improved_astar,1,0.0,0,0.000500003807246685,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_adaptive,1,0.0,0,0.000400003045797348,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_smoothing,1,0.0,0,0.000600004568696022,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
dijkstra,1,3.414213562373095,1,0.14720001490786672,37,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.028400012524798512,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.01889999839477241,4,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.02750000567175448,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
