algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.0,0,1.0026000090874732,10,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.22829999215900898,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.16469997353851795,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.19120000069960952,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.09360001422464848,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.14059999375604093,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.0,0,0.3296000068075955,12,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.08909997995942831,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.0771000050008297,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.23700000019744039,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.11570000788196921,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.18760000239126384,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
