algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,0.5890000029467046,221,20,0.3,0,0
astar,1,14.828427124746192,4,0.11889998859260231,31,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.07530000584665686,20,20,0.3,0,0
jps_like,1,14.828427124746192,5,0.24110000231303275,31,20,0.3,0,0
improved_astar,1,13.990704784914572,2,0.1998999941861257,16,20,0.3,0,0
ablation_no_adaptive,1,13.990704784914572,2,0.08169999637175351,9,20,0.3,0,0
ablation_no_jump,1,13.990704784914572,2,0.11480000102892518,29,20,0.3,0,0
ablation_no_smoothing,1,14.828427124746192,5,0.14670001110062003,16,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.557400009711273,184,20,0.3,1,1
astar,1,12.485281374238571,3,0.05149999924469739,11,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.04549999721348286,11,20,0.3,1,1
jps_like,1,12.485281374238571,4,0.06010000652167946,6,20,0.3,1,1
improved_astar,1,11.772699034745349,1,0.04630000330507755,5,20,0.3,1,1
ablation_no_adaptive,1,11.772699034745349,1,0.057999990531243384,5,20,0.3,1,1
ablation_no_jump,1,11.76782893563237,2,0.04719999560620636,11,20,0.3,1,1
ablation_no_smoothing,1,12.48528137423857,2,0.045200009481050074,5,20,0.3,1,1
dijkstra,1,6.65685424949238,1,0.23850001161918044,79,20,0.3,2,2
astar,1,6.656854249492381,2,0.026399997295811772,6,20,0.3,2,2
weighted_astar,1,6.656854249492381,2,0.023899992811493576,6,20,0.3,2,2
jps_like,1,6.65685424949238,2,0.035500008380040526,4,20,0.3,2,2
improved_astar,1,6.4031242374328485,0,0.03429999924264848,4,20,0.3,2,2
ablation_no_adaptive,1,6.4031242374328485,0,0.033499993151053786,4,20,0.3,2,2
ablation_no_jump,1,6.4031242374328485,0,0.02549999044276774,6,20,0.3,2,2
ablation_no_smoothing,1,6.65685424949238,2,0.03500000457279384,4,20,0.3,2,2
dijkstra,1,17.899494936611667,7,0.6466000049840659,223,20,0.3,3,3
astar,1,17.899494936611667,9,0.16540000797249377,41,20,0.3,3,3
weighted_astar,1,17.899494936611667,9,0.08110000635497272,24,20,0.3,3,3
jps_like,1,17.899494936611667,7,0.2784999960567802,41,20,0.3,3,3
improved_astar,1,15.52145126328583,5,0.1703000016277656,22,20,0.3,3,3
ablation_no_adaptive,1,15.52145126328583,5,0.14600000577047467,19,20,0.3,3,3
ablation_no_jump,1,15.52145126328583,5,0.10779999138321728,27,20,0.3,3,3
ablation_no_smoothing,1,17.899494936611667,7,0.35180000122636557,22,20,0.3,3,3
dijkstra,1,18.899494936611667,5,0.6126000080257654,213,20,0.3,4,4
astar,1,18.899494936611667,7,0.12840000272262841,38,20,0.3,4,4
