size,ratio,attempt_id,accepted,reason
20,0.3,0,1,valid_sample
20,0.3,1,1,valid_sample
20,0.3,2,1,valid_sample
20,0.3,3,1,valid_sample
20,0.3,4,1,valid_sample
20,0.7,0,1,valid_sample
20,0.7,1,1,valid_sample
20,0.7,2,1,valid_sample
20,0.7,3,1,valid_sample
20,0.7,4,1,valid_sample
40,0.3,0,1,valid_sample
40,0.3,1,1,valid_sample
40,0.3,2,1,valid_sample
40,0.3,3,1,valid_sample
40,0.3,4,1,valid_sample
40,0.7,0,1,valid_sample
40,0.7,1,1,valid_sample
40,0.7,2,1,valid_sample
40,0.7,3,1,valid_sample
40,0.7,4,1,valid_sample
