algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.0,0,0.09799998952075839,10,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.027499976567924023,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.01810002140700817,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.03470000228844583,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.057199998991563916,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.0,0,0.06359998951666057,12,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.01930000144056976,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.016000005416572094,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.050499977078288794,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.04129999433644116,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.414213562373095,1,0.10489998385310173,19,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.02370000584051013,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.016799982404336333,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.07239999831654131,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.05949998740106821,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
dijkstra,1,2.414213562373095,1,0.0819999841041863,18,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.01729998621158302,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.016799982404336333,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.04709998029284179,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.07410001126118004,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
dijkstra,1,3.414213562373095,1,0.19169997540302575,30,Berlin_0_1024.map,1024,0.24206924438476562,4,4,Berlin_0_1024.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.032899988582357764,4,Berlin_0_1024.map,1024,0.24206924438476562,4,4,Berlin_0_1024.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.02300000051036477,4,Berlin_0_1024.map,1024,0.24206924438476562,4,4,Berlin_0_1024.map.scen,0,3.41421356
jps_like,1,3.414213562373095,1,0.05020000389777124,3,Berlin_0_1024.map,1024,0.24206924438476562,4,4,Berlin_0_1024.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.07120001828297973,3,Berlin_0_1024.map,1024,0.24206924438476562,4,4,Berlin_0_1024.map.scen,0,3.41421356
dijkstra,1,3.82842712474619,1,0.17220000154338777,38,Berlin_0_1024.map,1024,0.24206924438476562,5,5,Berlin_0_1024.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.024900014977902174,4,Berlin_0_1024.map,1024,0.24206924438476562,5,5,Berlin_0_1024.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.02340000355616212,4,Berlin_0_1024.map,1024,0.24206924438476562,5,5,Berlin_0_1024.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.06500000017695129,4,Berlin_0_1024.map,1024,0.24206924438476562,5,5,Berlin_0_1024.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.07440001354552805,3,Berlin_0_1024.map,1024,0.24206924438476562,5,5,Berlin_0_1024.map.scen,0,3.82842712
dijkstra,1,1.4142135623730951,0,0.044599990360438824,9,Berlin_0_1024.map,1024,0.24206924438476562,6,6,Berlin_0_1024.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.011299998732283711,2,Berlin_0_1024.map,1024,0.24206924438476562,6,6,Berlin_0_1024.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.009099981980398297,2,Berlin_0_1024.map,1024,0.24206924438476562,6,6,Berlin_0_1024.map.scen,0,1.41421356
jps_like,1,1.4142135623730951,0,0.025899993488565087,2,Berlin_0_1024.map,1024,0.24206924438476562,6,6,Berlin_0_1024.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.03659998765215278,2,Berlin_0_1024.map,1024,0.24206924438476562,6,6,Berlin_0_1024.map.scen,0,1.41421356
dijkstra,1,2.0,0,0.05329999839887023,11,Berlin_0_1024.map,1024,0.24206924438476562,7,7,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.02720000338740647,3,Berlin_0_1024.map,1024,0.24206924438476562,7,7,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.0171000137925148,3,Berlin_0_1024.map,1024,0.24206924438476562,7,7,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.02579999272711575,2,Berlin_0_1024.map,1024,0.24206924438476562,7,7,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.03369999467395246,2,Berlin_0_1024.map,1024,0.24206924438476562,7,7,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,1.0,0,0.01960000372491777,4,Berlin_0_1024.map,1024,0.24206924438476562,8,8,Berlin_0_1024.map.scen,0,1.0
astar,1,1.0,0,0.009700015652924776,2,Berlin_0_1024.map,1024,0.24206924438476562,8,8,Berlin_0_1024.map.scen,0,1.0
weighted_astar,1,1.0,0,0.008499977411702275,2,Berlin_0_1024.map,1024,0.24206924438476562,8,8,Berlin_0_1024.map.scen,0,1.0
jps_like,1,1.0,0,0.02509998739697039,2,Berlin_0_1024.map,1024,0.24206924438476562,8,8,Berlin_0_1024.map.scen,0,1.0
improved_astar,1,1.0,0,0.03589998232200742,2,Berlin_0_1024.map,1024,0.24206924438476562,8,8,Berlin_0_1024.map.scen,0,1.0
dijkstra,1,1.4142135623730951,0,0.028600014047697186,6,Berlin_0_1024.map,1024,0.24206924438476562,9,9,Berlin_0_1024.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.009000010322779417,2,Berlin_0_1024.map,1024,0.24206924438476562,9,9,Berlin_0_1024.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.008200004231184721,2,Berlin_0_1024.map,1024,0.24206924438476562,9,9,Berlin_0_1024.map.scen,0,1.41421356
jps_like,1,1.4142135623730951,0,0.025100016500800848,2,Berlin_0_1024.map,1024,0.24206924438476562,9,9,Berlin_0_1024.map.scen,0,1.41421356
