algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,3.0,0,0.5072999920230359,29,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
astar,1,3.0,0,0.13040000339969993,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
weighted_astar,1,3.0,0,0.14109999756328762,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
improved_astar,1,3.0,0,0.09709998266771436,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
ablation_no_adaptive,1,3.0,0,0.09169999975711107,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
ablation_no_smoothing,1,3.0,0,0.09479999425821006,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
dijkstra,1,2.414213562373095,1,0.2796999760903418,14,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.07760000880807638,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.06409999332390726,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.0672000169288367,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.0819999841041863,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.10909998673014343,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.2800000074785203,12,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
astar,1,2.0,0,0.08239998714998364,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
weighted_astar,1,2.0,0,0.2961000136565417,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
improved_astar,1,2.0,0,0.13669999316334724,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.10050000855699182,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.11000002268701792,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
dijkstra,1,1.4142135623730951,0,0.18419997650198638,7,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.05429997690953314,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.04529999569058418,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.046200002543628216,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
ablation_no_adaptive,1,1.4142135623730951,0,0.04099999205209315,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
ablation_no_smoothing,1,1.4142135623730951,0,0.04630000330507755,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
dijkstra,1,3.82842712474619,1,1.2184999941382557,43,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.13230001786723733,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.16369999502785504,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.13390000094659626,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.12770001194439828,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.21580001339316368,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
dijkstra,1,2.0,0,0.16919997869990766,8,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
astar,1,2.0,0,0.05660002352669835,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
weighted_astar,1,2.0,0,0.05470000905916095,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
improved_astar,1,2.0,0,0.05500001134350896,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.054100004490464926,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.05940001574344933,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
dijkstra,1,2.414213562373095,1,0.4434000002220273,18,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.12280000373721123,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.1154000055976212,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.12129999231547117,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.11329998960718513,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.1514999894425273,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
dijkstra,1,3.82842712474619,1,1.9802000024355948,41,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.22770001669414341,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.17660000594332814,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.2832000027410686,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.2376000047661364,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.24739999207668006,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
dijkstra,1,3.82842712474619,1,0.6986999942455441,21,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.1880000054370612,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.16999998479150236,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.18579998868517578,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.15609999536536634,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.13530001160688698,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
