algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,3.0,0,0.14879999798722565,29,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
astar,1,3.0,0,0.025999994250014424,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
weighted_astar,1,3.0,0,0.019500002963468432,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
jps_like,1,3.0,0,0.06980000762268901,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
improved_astar,1,3.0,0,0.026599998818710446,2,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
dijkstra,1,2.414213562373095,1,0.05319999763742089,14,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.015400000847876072,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.01379998866468668,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.04349998198449612,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.043899985030293465,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.04509999416768551,12,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
astar,1,2.0,0,0.013999990187585354,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
weighted_astar,1,2.0,0,0.012899981811642647,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
jps_like,1,2.0,0,0.04499999340623617,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
improved_astar,1,2.0,0,0.025100016500800848,2,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
dijkstra,1,1.4142135623730951,0,0.02710000262595713,7,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.008500006515532732,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.00790000194683671,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
jps_like,1,1.4142135623730951,0,0.02519998815841973,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.031800009310245514,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
dijkstra,1,3.82842712474619,1,0.1787999935913831,43,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.021099986042827368,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.020000006770715117,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.0651999725960195,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.08189998334273696,3,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
