algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
dijkstra,1,14.828427124746192,4.0,0.6694999756291509,221,random_generated,20,0.3,0,0,seed42
astar,1,14.828427124746192,4.0,0.1201999839395284,31,random_generated,20,0.3,0,0,seed42
weighted_astar,1,15.071067811865476,5.0,0.0728000013623386,20,random_generated,20,0.3,0,0,seed42
jps_like,1,18.242640687119287,6.0,0.4406000080052763,77,random_generated,20,0.3,0,0,seed42
improved_astar,1,15.99070478491457,3.0,0.367900007404387,68,random_generated,20,0.3,0,0,seed42
dijkstra,1,12.485281374238571,5.0,0.4916999896522611,184,random_generated,20,0.3,1,1,seed42
astar,1,12.485281374238571,3.0,0.0503000046592205,11,random_generated,20,0.3,1,1,seed42
weighted_astar,1,12.485281374238571,2.0,0.0466000055894255,11,random_generated,20,0.3,1,1,seed42
jps_like,1,16.242640687119284,7.0,0.3177999751642346,46,random_generated,20,0.3,1,1,seed42
improved_astar,1,15.497365151260954,4.0,0.1871999993454665,26,random_generated,20,0.3,1,1,seed42
dijkstra,1,6.65685424949238,1.0,0.2732999855652451,79,random_generated,20,0.3,2,2,seed42
astar,1,6.656854249492381,2.0,0.029299990274012,6,random_generated,20,0.3,2,2,seed42
weighted_astar,1,6.656854249492381,2.0,0.0261999957729131,6,random_generated,20,0.3,2,2,seed42
jps_like,1,7.82842712474619,5.0,0.087699998402968,11,random_generated,20,0.3,2,2,seed42
improved_astar,1,6.433978400210179,1.0,0.0754999928176403,9,random_generated,20,0.3,2,2,seed42
dijkstra,1,17.899494936611667,7.0,0.6155000010039657,223,random_generated,20,0.3,3,3,seed42
astar,1,17.899494936611667,9.0,0.1500000071246177,41,random_generated,20,0.3,3,3,seed42
weighted_astar,1,17.899494936611667,9.0,0.0865999900270253,24,random_generated,20,0.3,3,3,seed42
jps_like,1,25.07106781186548,11.0,0.8092999923974276,141,random_generated,20,0.3,3,3,seed42
improved_astar,1,24.102916426724946,6.0,0.7339000003412366,125,random_generated,20,0.3,3,3,seed42
dijkstra,1,18.899494936611667,5.0,0.7142999966163188,213,random_generated,20,0.3,4,4,seed42
astar,1,18.899494936611667,7.0,0.167999998666346,38,random_generated,20,0.3,4,4,seed42
weighted_astar,1,20.55634918610405,6.0,0.1175999932456761,27,random_generated,20,0.3,4,4,seed42
jps_like,0,,,0.3299000090919435,56,random_generated,20,0.3,4,4,seed42
improved_astar,0,,,0.3237999917473644,56,random_generated,20,0.3,4,4,seed42
dijkstra,1,3.82842712474619,2.0,0.1150999742094427,35,random_generated,20,0.3,5,5,seed42
astar,1,3.82842712474619,2.0,0.0193000014405697,4,random_generated,20,0.3,5,5,seed42
weighted_astar,1,3.82842712474619,2.0,0.0168000115081667,4,random_generated,20,0.3,5,5,seed42
jps_like,1,9.0,3.0,0.2312000142410397,31,random_generated,20,0.3,5,5,seed42
improved_astar,1,9.0,2.0,0.223600014578551,29,random_generated,20,0.3,5,5,seed42
dijkstra,1,13.242640687119284,5.0,0.4568000149447471,148,random_generated,20,0.3,6,6,seed42
astar,1,13.242640687119284,5.0,0.0866000191308558,23,random_generated,20,0.3,6,6,seed42
weighted_astar,1,13.242640687119284,4.0,0.0556000159122049,15,random_generated,20,0.3,6,6,seed42
jps_like,1,14.65685424949238,5.0,0.2112000074703246,29,random_generated,20,0.3,6,6,seed42
improved_astar,1,13.3107063534813,2.0,0.1300000003539025,16,random_generated,20,0.3,6,6,seed42
dijkstra,1,3.414213562373095,2.0,0.0949999957811087,27,random_generated,20,0.3,7,7,seed42
astar,1,3.414213562373095,1.0,0.0211000151466578,5,random_generated,20,0.3,7,7,seed42
weighted_astar,1,3.414213562373095,1.0,0.016000005416572,4,random_generated,20,0.3,7,7,seed42
jps_like,1,4.0,2.0,0.0366999884136021,5,random_generated,20,0.3,7,7,seed42
improved_astar,1,3.1622776601683795,0.0,0.0295000209007412,4,random_generated,20,0.3,7,7,seed42
dijkstra,1,14.65685424949238,4.0,1.2285000120755285,234,random_generated,20,0.3,8,8,seed42
astar,1,14.65685424949238,4.0,0.1253999944310635,28,random_generated,20,0.3,8,8,seed42
weighted_astar,1,14.65685424949238,4.0,0.0825999886728823,18,random_generated,20,0.3,8,8,seed42
