algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,0.666300009470433,221,random_generated,20,0.3,0,0
astar,1,14.828427124746192,4,0.12870000500697643,31,random_generated,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.07270000060088933,20,random_generated,20,0.3,0,0
jps_like,1,14.828427124746192,5,0.2491999912308529,31,random_generated,20,0.3,0,0
improved_astar,1,13.990704784914572,2,0.14649999502580613,16,random_generated,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.48990000505000353,184,random_generated,20,0.3,1,1
astar,1,12.485281374238571,3,0.04699999408330768,11,random_generated,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.05470000905916095,11,random_generated,20,0.3,1,1
jps_like,1,12.485281374238571,4,0.060999998822808266,6,random_generated,20,0.3,1,1
improved_astar,1,11.772699034745349,1,0.04600000102072954,5,random_generated,20,0.3,1,1
