algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,1.0352000099373981,221,20,0.3,0,0
astar,1,14.828427124746192,4,0.14110001211520284,31,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.08199999865610152,20,20,0.3,0,0
jps_like,1,14.828427124746192,5,0.25710000772960484,31,20,0.3,0,0
improved_astar,1,13.990704784914572,2,0.145500001963228,16,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.53779999143444,184,20,0.3,1,1
astar,1,12.485281374238571,3,0.05080000846646726,11,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.047900000936351717,11,20,0.3,1,1
jps_like,1,12.485281374238571,4,0.06520000169984996,6,20,0.3,1,1
improved_astar,1,11.772699034745349,1,0.0501000031363219,5,20,0.3,1,1
dijkstra,1,6.65685424949238,1,0.23579999106004834,79,20,0.3,2,2
astar,1,6.656854249492381,2,0.02890000178012997,6,20,0.3,2,2
weighted_astar,1,6.656854249492381,2,0.026699999580159783,6,20,0.3,2,2
jps_like,1,6.65685424949238,2,0.03920000744983554,4,20,0.3,2,2
improved_astar,1,6.4031242374328485,0,0.038700003642588854,4,20,0.3,2,2
dijkstra,1,17.899494936611667,7,0.7718999986536801,223,20,0.3,3,3
astar,1,17.899494936611667,9,0.18109999655280262,41,20,0.3,3,3
weighted_astar,1,17.899494936611667,9,0.10370000381954014,24,20,0.3,3,3
jps_like,1,17.899494936611667,7,0.3708000003825873,41,20,0.3,3,3
improved_astar,1,15.52145126328583,5,0.19759999122470617,22,20,0.3,3,3
dijkstra,1,18.899494936611667,5,0.596500001847744,213,20,0.3,4,4
astar,1,18.899494936611667,7,0.1382000045850873,38,20,0.3,4,4
weighted_astar,1,20.55634918610405,6,0.09439999121241271,27,20,0.3,4,4
jps_like,1,18.899494936611667,6,0.1934000028995797,28,20,0.3,4,4
improved_astar,1,17.797928231006722,4,0.18570000247564167,27,20,0.3,4,4
dijkstra,1,3.82842712474619,2,0.10689999908208847,35,20,0.3,5,5
astar,1,3.82842712474619,2,0.01750000228639692,4,20,0.3,5,5
weighted_astar,1,3.82842712474619,2,0.015300000086426735,4,20,0.3,5,5
jps_like,1,3.82842712474619,2,0.03510000533424318,4,20,0.3,5,5
improved_astar,1,3.6502815398728847,1,0.03479998849797994,4,20,0.3,5,5
dijkstra,1,13.242640687119284,5,0.4996000061510131,148,20,0.3,6,6
astar,1,13.242640687119284,5,0.2849000011337921,23,20,0.3,6,6
weighted_astar,1,13.242640687119284,4,0.06049999501556158,15,20,0.3,6,6
jps_like,1,13.242640687119284,5,0.3184999950462952,23,20,0.3,6,6
improved_astar,1,12.082762530298218,2,0.09139999747276306,11,20,0.3,6,6
dijkstra,1,3.414213562373095,2,0.12330000754445791,27,20,0.3,7,7
astar,1,3.414213562373095,1,0.022799998987466097,5,20,0.3,7,7
weighted_astar,1,3.414213562373095,1,0.01649999467190355,4,20,0.3,7,7
