algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,0.913099996978417,221,20,0.3,0,0
astar,1,14.828427124746192,4,0.1652999926591292,31,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.10159998782910407,20,20,0.3,0,0
jps_like,1,14.828427124746192,5,0.5882000114070252,31,20,0.3,0,0
improved_astar,1,13.990704784914572,2,0.2575000107754022,16,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.6826000026194379,184,20,0.3,1,1
astar,1,12.485281374238571,3,0.0644999963697046,11,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.05889999738428742,11,20,0.3,1,1
jps_like,1,12.485281374238571,4,0.08030000026337802,6,20,0.3,1,1
improved_astar,1,11.772699034745349,1,0.062000006437301636,5,20,0.3,1,1
dijkstra,1,6.65685424949238,1,0.29379999614320695,79,20,0.3,2,2
astar,1,6.656854249492381,2,0.03579999611247331,6,20,0.3,2,2
weighted_astar,1,6.656854249492381,2,0.032500000088475645,6,20,0.3,2,2
jps_like,1,6.65685424949238,2,0.04849999095313251,4,20,0.3,2,2
improved_astar,1,6.4031242374328485,0,0.04820000322069973,4,20,0.3,2,2
dijkstra,1,17.899494936611667,7,1.2271000014152378,223,20,0.3,3,3
astar,1,17.899494936611667,9,0.24380000832024962,41,20,0.3,3,3
weighted_astar,1,17.899494936611667,9,0.10930000280495733,24,20,0.3,3,3
jps_like,1,17.899494936611667,7,0.3809999907389283,41,20,0.3,3,3
improved_astar,1,15.52145126328583,5,0.2192999963881448,22,20,0.3,3,3
dijkstra,1,18.899494936611667,5,0.7366000063484535,213,20,0.3,4,4
astar,1,18.899494936611667,7,0.16250000044237822,38,20,0.3,4,4
weighted_astar,1,20.55634918610405,6,0.11039999662898481,27,20,0.3,4,4
jps_like,1,18.899494936611667,6,0.25949999690055847,28,20,0.3,4,4
improved_astar,1,17.797928231006722,4,0.21969999943394214,27,20,0.3,4,4
dijkstra,1,3.82842712474619,2,0.12919999426230788,35,20,0.3,5,5
astar,1,3.82842712474619,2,0.033500007702969015,4,20,0.3,5,5
weighted_astar,1,3.82842712474619,2,0.03999999898951501,4,20,0.3,5,5
jps_like,1,3.82842712474619,2,0.0788999896030873,4,20,0.3,5,5
improved_astar,1,3.6502815398728847,1,0.04389999958220869,4,20,0.3,5,5
dijkstra,1,13.242640687119284,5,0.5367999983718619,148,20,0.3,6,6
astar,1,13.242640687119284,5,0.09440000576432794,23,20,0.3,6,6
weighted_astar,1,13.242640687119284,4,0.0602000072831288,15,20,0.3,6,6
jps_like,1,13.242640687119284,5,0.1773999974830076,23,20,0.3,6,6
improved_astar,1,12.082762530298218,2,0.09309999586548656,11,20,0.3,6,6
dijkstra,1,3.414213562373095,2,0.10539998766034842,27,20,0.3,7,7
astar,1,3.414213562373095,1,0.022199994418770075,5,20,0.3,7,7
weighted_astar,1,3.414213562373095,1,0.016300007700920105,4,20,0.3,7,7
jps_like,1,3.414213562373095,1,0.04600000102072954,5,20,0.3,7,7
improved_astar,1,3.1622776601683795,0,0.030199997127056122,3,20,0.3,7,7
dijkstra,1,14.65685424949238,4,0.7658999966224656,234,20,0.3,8,8
astar,1,14.65685424949238,4,0.1221999991685152,28,20,0.3,8,8
weighted_astar,1,14.65685424949238,4,0.08159999561030418,18,20,0.3,8,8
jps_like,1,14.65685424949238,4,0.265499998931773,28,20,0.3,8,8
improved_astar,1,13.924381783261998,3,0.08949999755714089,8,20,0.3,8,8
dijkstra,1,13.656854249492383,5,0.4704000020865351,114,20,0.3,9,9
astar,1,13.656854249492383,5,0.1638000103412196,36,20,0.3,9,9
weighted_astar,1,13.656854249492383,4,0.0822000001790002,18,20,0.3,9,9
jps_like,1,13.656854249492381,6,0.31629999284632504,35,20,0.3,9,9
improved_astar,1,12.233345472033855,2,0.1179000100819394,12,20,0.3,9,9
dijkstra,1,15.899494936611669,3,0.647299995762296,196,20,0.3,10,10
astar,1,15.899494936611669,3,0.10859999747481197,23,20,0.3,10,10
weighted_astar,1,15.899494936611669,4,0.08630000229459256,18,20,0.3,10,10
jps_like,1,15.899494936611664,4,0.14400000509340316,12,20,0.3,10,10
improved_astar,1,15.645764924552132,2,0.1058999914675951,9,20,0.3,10,10
dijkstra,1,5.242640687119286,1,0.17559999832883477,51,20,0.3,11,11
astar,1,5.242640687119286,1,0.02579999272711575,6,20,0.3,11,11
weighted_astar,1,5.242640687119286,1,0.02059999678749591,5,20,0.3,11,11
jps_like,1,5.242640687119285,1,0.04339999577496201,6,20,0.3,11,11
improved_astar,1,5.06449510224598,1,0.02300000051036477,3,20,0.3,11,11
dijkstra,1,4.82842712474619,1,0.10130000009667128,29,20,0.3,12,12
astar,1,4.82842712474619,1,0.025200002710334957,5,20,0.3,12,12
weighted_astar,1,4.82842712474619,1,0.025699991965666413,5,20,0.3,12,12
jps_like,1,4.82842712474619,1,0.027399990358389914,3,20,0.3,12,12
improved_astar,1,4.47213595499958,0,0.028299997211433947,3,20,0.3,12,12
dijkstra,1,14.242640687119286,5,0.8846999990055338,250,20,0.3,13,13
astar,1,14.242640687119286,5,0.11649999942164868,24,20,0.3,13,13
weighted_astar,1,15.071067811865476,7,0.08499999239575118,18,20,0.3,13,13
jps_like,1,14.242640687119286,6,0.2426999999443069,24,20,0.3,13,13
improved_astar,1,13.123105625617661,2,0.17080000543501228,16,20,0.3,13,13
dijkstra,1,16.899494936611667,6,0.9646999969845638,266,20,0.3,14,14
astar,1,16.899494936611667,6,0.12460000289138407,25,20,0.3,14,14
weighted_astar,1,16.899494936611667,8,0.10229999315924942,15,20,0.3,14,14
jps_like,1,16.899494936611664,6,0.20629999926313758,22,20,0.3,14,14
improved_astar,1,16.09745206830065,4,0.0926000066101551,8,20,0.3,14,14
dijkstra,1,10.485281374238571,3,0.683599995682016,157,20,0.3,15,15
astar,1,10.485281374238571,4,0.14109999756328762,17,20,0.3,15,15
weighted_astar,1,10.485281374238571,4,0.13010000111535192,9,20,0.3,15,15
jps_like,1,10.48528137423857,5,0.23520000104326755,10,20,0.3,15,15
improved_astar,1,10.06449510224598,2,0.08060000254772604,7,20,0.3,15,15
dijkstra,1,13.071067811865476,8,0.7538000063505024,192,20,0.3,16,16
astar,1,13.071067811865476,8,0.09040000441018492,20,20,0.3,16,16
weighted_astar,1,13.071067811865476,8,0.055599986808374524,13,20,0.3,16,16
jps_like,1,13.071067811865476,8,0.15639999764971435,20,20,0.3,16,16
improved_astar,1,11.21110255092798,2,0.1058999914675951,13,20,0.3,16,16
dijkstra,1,8.0,0,0.17229998775292188,49,20,0.3,17,17
astar,1,8.0,0,0.0447999918833375,9,20,0.3,17,17
weighted_astar,1,8.0,0,0.04100000660400838,9,20,0.3,17,17
jps_like,1,8.0,1,0.08820000221021473,9,20,0.3,17,17
improved_astar,1,8.0,0,0.042100000428035855,4,20,0.3,17,17
dijkstra,1,4.82842712474619,3,0.17579999985173345,48,20,0.3,18,18
astar,1,4.82842712474619,3,0.029000002541579306,6,20,0.3,18,18
weighted_astar,1,4.82842712474619,3,0.023300002794712782,5,20,0.3,18,18
jps_like,1,4.82842712474619,3,0.06089999806135893,6,20,0.3,18,18
improved_astar,1,4.47213595499958,1,0.052700008382089436,5,20,0.3,18,18
dijkstra,1,17.899494936611667,7,0.4850999976042658,151,20,0.3,19,19
astar,1,17.899494936611667,9,0.16729999333620071,43,20,0.3,19,19
weighted_astar,1,17.899494936611667,9,0.1432999997632578,37,20,0.3,19,19
jps_like,1,17.899494936611667,7,0.30759999935980886,43,20,0.3,19,19
improved_astar,1,13.837882267736525,6,0.3104999923380092,46,20,0.3,19,19
dijkstra,1,17.142135623730955,3,0.6111999973654747,194,20,0.3,20,20
astar,1,17.142135623730955,5,0.09039998985826969,19,20,0.3,20,20
weighted_astar,1,17.142135623730955,5,0.06949999078642577,14,20,0.3,20,20
jps_like,1,17.142135623730947,4,0.1782000035746023,19,20,0.3,20,20
improved_astar,1,16.411799750329685,2,0.09390000195708126,9,20,0.3,20,20
dijkstra,1,18.899494936611667,12,0.8192999957827851,250,20,0.3,21,21
astar,1,18.899494936611667,11,0.1799000019673258,32,20,0.3,21,21
weighted_astar,1,18.899494936611667,11,0.13329999637790024,20,20,0.3,21,21
jps_like,1,18.899494936611667,11,0.39590000233147293,31,20,0.3,21,21
improved_astar,1,18.29126786466034,9,0.40210000588558614,31,20,0.3,21,21
dijkstra,1,5.242640687119285,3,0.3387999895494431,53,20,0.3,22,22
astar,1,5.242640687119285,3,0.04440000338945538,5,20,0.3,22,22
weighted_astar,1,5.242640687119285,3,0.04020000051241368,5,20,0.3,22,22
jps_like,1,5.242640687119285,3,0.08209999941755086,5,20,0.3,22,22
improved_astar,1,5.06449510224598,2,0.08089999028015882,5,20,0.3,22,22
dijkstra,1,18.65685424949238,7,1.1384999961592257,188,20,0.3,23,23
astar,1,18.65685424949238,7,0.2401999954599887,27,20,0.3,23,23
weighted_astar,1,18.656854249492383,6,0.2106000029016286,23,20,0.3,23,23
jps_like,1,18.65685424949238,6,0.6062999891582876,32,20,0.3,23,23
improved_astar,1,17.468336390445764,2,0.18570000247564167,9,20,0.3,23,23
dijkstra,1,18.970562748477146,1,1.0245000012218952,225,20,0.3,24,24
astar,1,18.970562748477146,3,0.17949999892152846,17,20,0.3,24,24
weighted_astar,1,18.970562748477146,3,0.152900000102818,15,20,0.3,24,24
jps_like,1,18.97056274847714,1,0.15469999925699085,6,20,0.3,24,24
improved_astar,1,18.558873956203158,1,0.20319999021012336,6,20,0.3,24,24
dijkstra,1,16.242640687119284,5,0.41349999082740396,126,20,0.3,25,25
astar,1,16.242640687119284,5,0.17639998986851424,22,20,0.3,25,25
weighted_astar,1,16.242640687119284,5,0.17640000442042947,21,20,0.3,25,25
jps_like,1,16.242640687119284,6,0.12430000060703605,14,20,0.3,25,25
improved_astar,1,15.738768882709854,4,0.11160000576637685,13,20,0.3,25,25
dijkstra,1,13.899494936611667,6,0.8662000036565587,259,20,0.3,26,26
astar,1,13.899494936611667,6,0.1601999974809587,35,20,0.3,26,26
weighted_astar,1,13.899494936611667,4,0.083099992480129,18,20,0.3,26,26
jps_like,1,13.899494936611664,6,0.2814999897964299,31,20,0.3,26,26
