algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id
dijkstra,1,17.071067811865476,6,0.6701000093016773,214,random_generated,20,0.3,0,0
astar,1,17.071067811865476,9,0.1655000087339431,45,random_generated,20,0.3,0,0
weighted_astar,1,17.313708498984763,7,0.07529999129474163,23,random_generated,20,0.3,0,0
jps_like,1,23.071067811865476,9,0.4568000149447471,64,random_generated,20,0.3,0,0
improved_astar,1,21.541216101122913,6,0.20410001161508262,26,random_generated,20,0.3,0,0
dijkstra,1,1.0,0,0.021599989850074053,4,random_generated,20,0.3,1,1
astar,1,1.0,0,0.011999974958598614,2,random_generated,20,0.3,1,1
weighted_astar,1,1.0,0,0.006999995093792677,2,random_generated,20,0.3,1,1
jps_like,1,1.0,0,0.016400008462369442,2,random_generated,20,0.3,1,1
improved_astar,1,1.0,0,0.015500001609325409,2,random_generated,20,0.3,1,1
dijkstra,1,3.414213562373095,2,0.14239997835829854,20,random_generated,20,0.3,2,2
astar,1,3.414213562373095,2,0.020100007532164454,4,random_generated,20,0.3,2,2
weighted_astar,1,3.414213562373095,2,0.01610000617802143,4,random_generated,20,0.3,2,2
jps_like,1,4.0,1,0.03809999907389283,5,random_generated,20,0.3,2,2
improved_astar,1,4.0,1,0.03610001294873655,5,random_generated,20,0.3,2,2
dijkstra,1,4.0,0,0.09470002260059118,27,random_generated,20,0.3,3,3
astar,1,4.0,0,0.02400000812485814,5,random_generated,20,0.3,3,3
weighted_astar,1,4.0,0,0.018099992303177714,5,random_generated,20,0.3,3,3
jps_like,1,4.0,1,0.03369999467395246,5,random_generated,20,0.3,3,3
improved_astar,1,4.0,0,0.01889999839477241,3,random_generated,20,0.3,3,3
dijkstra,1,9.65685424949238,5,0.4403000057209283,158,random_generated,20,0.3,4,4
astar,1,9.65685424949238,5,0.05199998850002885,13,random_generated,20,0.3,4,4
weighted_astar,1,9.65685424949238,3,0.03649998689070344,9,random_generated,20,0.3,4,4
jps_like,1,12.242640687119286,6,0.2311999851372093,34,random_generated,20,0.3,4,4
improved_astar,1,10.98536903096546,2,0.18190001719631255,24,random_generated,20,0.3,4,4
dijkstra,1,14.071067811865476,2,0.9191000135615468,238,random_generated,20,0.3,5,5
astar,1,14.071067811865476,2,0.11470000026747584,31,random_generated,20,0.3,5,5
weighted_astar,1,14.071067811865476,2,0.05420000525191426,13,random_generated,20,0.3,5,5
jps_like,0,nan,nan,1.5602999774273485,247,random_generated,20,0.3,5,5
improved_astar,0,nan,nan,1.5186999808065593,247,random_generated,20,0.3,5,5
