algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.0,0,0.10280002607032657,10,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.02820001100189984,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.02020000829361379,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.03600001218728721,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.1249000197276473,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.03779999678954482,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.03250001464039087,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.042100000428035855,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.0,0,0.06540000322274864,12,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.020100007532164454,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.0171000137925148,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.05220001912675798,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.03580001066438854,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.02750000567175448,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.03949998063035309,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.03680001827888191,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.414213562373095,1,0.1142999972216785,19,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.025899993488565087,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.018999999156221747,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.07799998275004327,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.07270000060088933,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.05490001058205962,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_jump,1,2.23606797749979,0,0.03740002284757793,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.06340001709759235,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
dijkstra,1,2.414213562373095,1,0.10659999679774046,18,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.02039998071268201,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.01889999839477241,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
