algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.414213562373095,1,0.1066999975591898,19,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.02549999044276774,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.016000005416572094,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.06230000872164965,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.0515999854542315,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.03480000304989517,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_jump,1,2.23606797749979,0,0.019799976143985987,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.22429999080486596,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.07689997437410057,10,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
astar,1,2.0,0,0.0501000031363219,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
weighted_astar,1,2.0,0,0.019800005247816443,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
jps_like,1,2.0,0,0.030399998649954796,2,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
improved_astar,1,2.0,0,0.04850002005696297,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.0475000124424696,2,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.02090001362375915,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.04329998046159744,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
dijkstra,1,0.0,0,0.001200009137392044,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
astar,1,0.0,0,0.00100000761449337,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
weighted_astar,1,0.0,0,0.000700005330145359,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
jps_like,1,0.0,0,0.000600004568696022,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
improved_astar,1,0.0,0,0.0011999800335615873,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_adaptive,1,0.0,0,0.000800006091594696,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_jump,1,0.0,0,0.000700005330145359,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_smoothing,1,0.0,0,0.000700005330145359,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
dijkstra,1,3.414213562373095,1,0.1283999881707132,37,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.03250001464039087,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.01819999306462705,4,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
jps_like,1,3.414213562373095,1,0.07660000119358301,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.1120000088121742,7,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
ablation_no_adaptive,1,3.1622776601683795,0,0.04579999949783087,3,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
ablation_no_jump,1,3.1622776601683795,0,0.05699999746866524,7,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
ablation_no_smoothing,1,3.414213562373095,1,0.1453999720979482,7,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
dijkstra,1,2.8284271247461903,0,0.10899998596869409,23,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
astar,1,2.8284271247461903,0,0.020700012100860476,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
weighted_astar,1,2.8284271247461903,0,0.016000005416572094,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
jps_like,1,2.8284271247461903,0,0.0261999957729131,2,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
improved_astar,1,2.8284271247461903,0,0.062400009483098984,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
ablation_no_adaptive,1,2.8284271247461903,0,0.021700019715353847,2,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
ablation_no_jump,1,2.8284271247461903,0,0.020400009816512465,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
ablation_no_smoothing,1,2.8284271247461903,0,0.04730001091957092,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
dijkstra,1,3.414213562373095,1,0.21960001322440803,37,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.03090000245720148,6,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.02300000051036477,4,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
jps_like,1,3.414213562373095,1,0.09640000644139946,6,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.0971999834291637,7,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
ablation_no_adaptive,1,3.1622776601683795,0,0.03960001049563289,3,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
ablation_no_jump,1,3.1622776601683795,0,0.03060000017285347,7,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
ablation_no_smoothing,1,3.414213562373095,1,0.08829997386783361,7,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
dijkstra,1,1.4142135623730951,0,0.023900007363408804,6,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.008300004992634058,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.007099995855242014,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
jps_like,1,1.4142135623730951,0,0.021199986804276705,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.022199994418770075,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
ablation_no_adaptive,1,1.4142135623730951,0,0.020400009816512465,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
ablation_no_jump,1,1.4142135623730951,0,0.007800001185387373,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
ablation_no_smoothing,1,1.4142135623730951,0,0.019400002202019095,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
dijkstra,1,2.8284271247461903,0,0.07390000973828137,21,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
astar,1,2.8284271247461903,0,0.014399993233382702,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
weighted_astar,1,2.8284271247461903,0,0.011999974958598614,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
jps_like,1,2.8284271247461903,0,0.031100003980100155,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
improved_astar,1,2.8284271247461903,0,0.03160000778734684,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
ablation_no_adaptive,1,2.8284271247461903,0,0.016399979358538985,2,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
ablation_no_jump,1,2.8284271247461903,0,0.014599994756281376,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
ablation_no_smoothing,1,2.8284271247461903,0,0.031499977922067046,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
dijkstra,1,2.0,0,0.044599990360438824,12,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
astar,1,2.0,0,0.014100020052865148,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
weighted_astar,1,2.0,0,0.012500007869675756,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
jps_like,1,2.0,0,0.03759999526664615,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
improved_astar,1,2.0,0,0.035200006095692515,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.019400002202019095,2,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.015300000086426735,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.036699988413602114,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
dijkstra,1,3.82842712474619,1,0.14420002116821706,42,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.019400002202019095,4,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.018200022168457508,4,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.04730001091957092,4,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.08230001549236476,7,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.033499993151053786,3,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
ablation_no_jump,1,3.605551275463989,0,0.03060000017285347,7,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
ablation_no_smoothing,1,3.82842712474619,1,0.08289999095723033,7,battleground.map,512,0.6480255126953125,9,9,battleground.map.scen,0,3.82842712
dijkstra,1,5.414213562373095,1,0.27990000671707094,78,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
astar,1,5.414213562373095,1,0.047999987145885825,10,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
weighted_astar,1,5.414213562373095,1,0.031100003980100155,6,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
jps_like,1,5.414213562373095,2,0.14139999984763563,10,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
improved_astar,1,5.0990195135927845,0,0.16930000856518745,12,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
ablation_no_adaptive,1,5.0990195135927845,0,0.0737000082153827,4,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
ablation_no_jump,1,5.0990195135927845,0,0.05470000905916095,12,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
ablation_no_smoothing,1,5.414213562373095,2,0.14519999967887998,12,battleground.map,512,0.6480255126953125,10,10,battleground.map.scen,1,5.41421356
dijkstra,1,6.65685424949238,1,0.2697999880183488,91,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
astar,1,6.65685424949238,1,0.033400021493434906,7,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
weighted_astar,1,6.656854249492381,1,0.02880001557059586,6,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
jps_like,1,6.65685424949238,2,0.09729998419061303,7,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
improved_astar,1,6.4031242374328485,0,0.1826000225264579,15,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
ablation_no_adaptive,1,6.4031242374328485,0,0.056199991377070546,4,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
ablation_no_jump,1,6.4031242374328485,0,0.061700004152953625,15,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
ablation_no_smoothing,1,6.65685424949238,2,0.19829999655485153,15,battleground.map,512,0.6480255126953125,11,11,battleground.map.scen,1,6.65685425
dijkstra,1,5.242640687119285,1,0.2449000021442771,74,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
astar,1,5.242640687119286,1,0.026599998818710446,5,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
weighted_astar,1,5.242640687119286,1,0.023300002794712782,5,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
jps_like,1,5.242640687119285,1,0.04119999357499182,3,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
improved_astar,1,5.0,0,0.14069999451749027,11,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
ablation_no_adaptive,1,5.0,0,0.03840000135824084,3,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
ablation_no_jump,1,5.0,0,0.048699992476031184,11,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
ablation_no_smoothing,1,5.242640687119285,1,0.2148000057786703,11,battleground.map,512,0.6480255126953125,12,12,battleground.map.scen,1,5.24264069
dijkstra,1,7.0710678118654755,0,1.006399979814887,142,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
astar,1,7.0710678118654755,0,0.06250001024454832,6,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
weighted_astar,1,7.0710678118654755,0,0.0323000131174922,6,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
jps_like,1,7.0710678118654755,1,0.04270000499673188,3,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
improved_astar,1,7.0710678118654755,0,0.17739998293109238,14,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
ablation_no_adaptive,1,7.0710678118654755,0,0.03759999526664615,3,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
ablation_no_jump,1,7.0710678118654755,0,0.06329998723231256,14,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
ablation_no_smoothing,1,7.0710678118654755,1,0.19540000357665122,14,battleground.map,512,0.6480255126953125,13,13,battleground.map.scen,1,7.07106781
dijkstra,1,7.242640687119285,1,0.49989999388344586,149,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
astar,1,7.242640687119285,3,0.03549997927621007,7,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
weighted_astar,1,7.242640687119286,1,0.03359999391250312,7,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
jps_like,1,7.242640687119285,3,0.09389998740516603,7,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
improved_astar,1,6.708203932499369,0,0.3155999875161797,24,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
ablation_no_adaptive,1,6.708203932499369,0,0.03999998443759978,3,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
ablation_no_jump,1,6.708203932499369,0,0.09659997886046767,24,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
ablation_no_smoothing,1,7.242640687119285,2,0.30350001179613173,24,battleground.map,512,0.6480255126953125,14,14,battleground.map.scen,1,7.24264069
dijkstra,1,5.414213562373095,1,0.3774000215344131,88,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
astar,1,5.414213562373095,1,0.05649999366141856,10,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
weighted_astar,1,5.414213562373095,1,0.03640001523308456,6,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
jps_like,1,5.414213562373095,2,0.15930001973174512,10,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
improved_astar,1,5.0990195135927845,0,0.159099989105016,12,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
ablation_no_adaptive,1,5.0990195135927845,0,0.05870001041330397,4,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
ablation_no_jump,1,5.0990195135927845,0,0.06469999789260328,12,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
ablation_no_smoothing,1,5.414213562373095,2,0.1598999951966107,12,battleground.map,512,0.6480255126953125,15,15,battleground.map.scen,1,5.41421356
dijkstra,1,7.0710678118654755,0,0.5384999967645854,144,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
astar,1,7.0710678118654755,0,0.0357000099029392,6,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
weighted_astar,1,7.0710678118654755,0,0.031800009310245514,6,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
jps_like,1,7.0710678118654755,1,0.08689999231137335,6,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
improved_astar,1,7.0710678118654755,0,0.19610000890679657,14,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
ablation_no_adaptive,1,7.0710678118654755,0,0.04300000728107989,3,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
ablation_no_jump,1,7.0710678118654755,0,0.06990000838413835,14,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
ablation_no_smoothing,1,7.0710678118654755,1,0.21130000823177397,14,battleground.map,512,0.6480255126953125,16,16,battleground.map.scen,1,7.07106781
dijkstra,1,4.0,0,0.16709999181330204,47,battleground.map,512,0.6480255126953125,17,17,battleground.map.scen,1,4.0
