algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,3.0,0,0.17240000306628644,29,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
astar,1,3.0,0,0.029999995604157448,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
weighted_astar,1,3.0,0,0.0219999928958714,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
jps_like,1,3.0,0,0.06870002835057676,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
improved_astar,1,3.0,0,0.027700007194653153,2,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
ablation_no_adaptive,1,3.0,0,0.024900014977902174,2,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
ablation_no_jump,1,3.0,0,0.023900007363408804,4,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
ablation_no_smoothing,1,3.0,0,0.02680000034160912,2,arena.map,49,0.1445231153685964,0,0,arena.map.scen,0,3.0
dijkstra,1,2.414213562373095,1,0.06130000110715628,14,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.01719998545013368,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.015699974028393626,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.04300000728107989,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.044100015657022595,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.042800005758181214,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
ablation_no_jump,1,2.23606797749979,0,0.017999991541728377,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.04290000651963055,3,arena.map,49,0.1445231153685964,1,1,arena.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.0523999915458262,12,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
astar,1,2.0,0,0.016000005416572094,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
weighted_astar,1,2.0,0,0.014699995517730713,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
jps_like,1,2.0,0,0.04600000102072954,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
improved_astar,1,2.0,0,0.03170000854879618,2,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.03029999788850546,2,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.02169999061152339,3,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.03200001083314419,2,arena.map,49,0.1445231153685964,2,2,arena.map.scen,0,2.0
dijkstra,1,1.4142135623730951,0,0.03099997411482036,7,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.009599985787644982,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.008800008799880743,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
jps_like,1,1.4142135623730951,0,0.02549999044276774,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.025299988919869065,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
ablation_no_adaptive,1,1.4142135623730951,0,0.023999979021027684,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
ablation_no_jump,1,1.4142135623730951,0,0.00969998654909432,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
ablation_no_smoothing,1,1.4142135623730951,0,0.024599983589723706,2,arena.map,49,0.1445231153685964,3,3,arena.map.scen,0,1.41421356
dijkstra,1,3.82842712474619,1,0.1790999958757311,43,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.024500011932104826,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.022700027329847217,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.0644999963697046,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.04859999171458185,3,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.04659997648559511,3,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
ablation_no_jump,1,3.605551275463989,0,0.024800014216452837,4,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.047299981815740466,3,arena.map,49,0.1445231153685964,4,4,arena.map.scen,0,3.82842712
dijkstra,1,2.0,0,0.030700000934302807,8,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
astar,1,2.0,0,0.012100004823878407,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
weighted_astar,1,2.0,0,0.018699996871873736,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
jps_like,1,2.0,0,0.028799986466765404,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
improved_astar,1,2.0,0,0.016799982404336333,2,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.015499972505494952,2,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.012499978765845299,3,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.016700010746717453,2,arena.map,49,0.1445231153685964,5,5,arena.map.scen,0,2.0
dijkstra,1,2.414213562373095,1,0.07499998901039362,18,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.016299978597089648,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.01580000389367342,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.04570002784021199,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.04360001184977591,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.14849999570287764,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
ablation_no_jump,1,2.23606797749979,0,0.032899988582357764,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.05329999839887023,3,arena.map,49,0.1445231153685964,6,6,arena.map.scen,0,2.41421356
dijkstra,1,3.82842712474619,1,0.16510000568814576,41,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.023900007363408804,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.022899999748915434,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.06829999620094895,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.05530001362785697,3,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.042800005758181214,3,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
ablation_no_jump,1,3.605551275463989,0,0.025299988919869065,4,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.04400001489557326,3,arena.map,49,0.1445231153685964,7,7,arena.map.scen,0,3.82842712
dijkstra,1,3.82842712474619,1,0.07810001261532307,21,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
astar,1,3.82842712474619,2,0.019400002202019095,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
weighted_astar,1,3.8284271247461903,1,0.018799997633323073,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
jps_like,1,3.82842712474619,2,0.04430001717992127,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
improved_astar,1,3.605551275463989,0,0.035299977753311396,3,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
ablation_no_adaptive,1,3.605551275463989,0,0.03250001464039087,3,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
ablation_no_jump,1,3.605551275463989,0,0.022299995180219412,4,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
ablation_no_smoothing,1,3.8284271247461903,1,0.03400002606213093,3,arena.map,49,0.1445231153685964,8,8,arena.map.scen,0,3.82842712
dijkstra,1,3.414213562373095,1,0.07989999721758068,22,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.02169999061152339,4,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.01990000600926578,4,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
jps_like,1,3.414213562373095,1,0.03500000457279384,3,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.03540000761859119,3,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
ablation_no_adaptive,1,3.1622776601683795,0,0.03460000152699649,3,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
ablation_no_jump,1,3.1622776601683795,0,0.023399974452331662,4,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
ablation_no_smoothing,1,3.414213562373095,1,0.035500008380040526,3,arena.map,49,0.1445231153685964,9,9,arena.map.scen,0,3.41421356
dijkstra,1,5.82842712474619,1,0.3338000096846372,82,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
astar,1,5.82842712474619,1,0.03980001201853156,6,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
weighted_astar,1,5.82842712474619,1,0.034500000765547156,6,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
jps_like,1,5.82842712474619,1,0.07999999797903001,5,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
improved_astar,1,5.385164807134504,0,0.04460001946426928,3,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
ablation_no_adaptive,1,5.385164807134504,0,0.05289999535307288,3,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
ablation_no_jump,1,5.385164807134504,0,0.03949998063035309,6,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
ablation_no_smoothing,1,5.82842712474619,1,0.04579999949783087,3,arena.map,49,0.1445231153685964,10,10,arena.map.scen,1,5.82842712
dijkstra,1,4.82842712474619,1,0.2663999912329018,66,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
astar,1,4.82842712474619,1,0.042100000428035855,7,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
weighted_astar,1,4.82842712474619,1,0.029499991796910763,5,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
jps_like,1,4.82842712474619,1,0.11079999967478216,7,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
improved_astar,1,4.47213595499958,0,0.04850002005696297,3,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
ablation_no_adaptive,1,4.47213595499958,0,0.045199994929134846,3,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
ablation_no_jump,1,4.47213595499958,0,0.031000003218650818,5,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
ablation_no_smoothing,1,4.82842712474619,1,0.04859999171458185,3,arena.map,49,0.1445231153685964,11,11,arena.map.scen,1,4.82842712
dijkstra,1,7.65685424949238,1,0.6414999952539802,163,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
astar,1,7.65685424949238,1,0.043800013372674584,7,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
weighted_astar,1,7.656854249492381,1,0.041000021155923605,7,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
jps_like,1,7.65685424949238,2,0.06600000779144466,4,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
improved_astar,1,7.211102550927978,0,0.06370001938194036,4,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
ablation_no_adaptive,1,7.211102550927978,0,0.060399994254112244,4,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
ablation_no_jump,1,7.211102550927978,0,0.04640000406652689,7,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
ablation_no_smoothing,1,7.65685424949238,2,0.06630001007579267,4,arena.map,49,0.1445231153685964,12,12,arena.map.scen,1,7.65685425
dijkstra,1,5.656854249492381,0,0.3166999958921224,78,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
astar,1,5.656854249492381,0,0.03369999467395246,5,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
weighted_astar,1,5.656854249492381,0,0.030199997127056122,5,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
jps_like,1,5.65685424949238,1,0.08009999874047935,5,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
improved_astar,1,5.656854249492381,0,0.046600005589425564,3,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
ablation_no_adaptive,1,5.656854249492381,0,0.04370001261122525,3,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
ablation_no_jump,1,5.656854249492381,0,0.03369999467395246,5,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
ablation_no_smoothing,1,5.65685424949238,1,0.04650000482797623,3,arena.map,49,0.1445231153685964,13,13,arena.map.scen,1,5.65685425
dijkstra,1,4.414213562373095,1,0.21649998961947858,55,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
astar,1,4.414213562373095,1,0.02920001861639321,5,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
weighted_astar,1,4.414213562373095,1,0.027000001864507794,5,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
jps_like,1,4.414213562373095,1,0.04379998426884413,3,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
improved_astar,1,4.123105625617661,0,0.056199991377070546,3,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
ablation_no_adaptive,1,4.123105625617661,0,0.05560001591220498,3,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
ablation_no_jump,1,4.123105625617661,0,0.03290001768618822,5,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
ablation_no_smoothing,1,4.414213562373095,1,0.04499999340623617,3,arena.map,49,0.1445231153685964,14,14,arena.map.scen,1,4.41421356
dijkstra,1,4.82842712474619,1,0.2626999921631068,67,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
astar,1,4.82842712474619,1,0.047200010158121586,9,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
weighted_astar,1,4.82842712474619,1,0.029199989512562752,5,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
jps_like,1,4.82842712474619,1,0.1370999962091446,9,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
improved_astar,1,4.47213595499958,0,0.04680000711232424,3,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
ablation_no_adaptive,1,4.47213595499958,0,0.04579999949783087,3,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
ablation_no_jump,1,4.47213595499958,0,0.031400006264448166,5,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
ablation_no_smoothing,1,4.82842712474619,1,0.04740001168102026,3,arena.map,49,0.1445231153685964,15,15,arena.map.scen,1,4.82842712
dijkstra,1,4.82842712474619,1,0.2673999988473952,69,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
astar,1,4.82842712474619,1,0.04549999721348286,9,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
weighted_astar,1,4.82842712474619,1,0.02889998722821474,5,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
jps_like,1,4.82842712474619,1,0.13770000077784061,9,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
improved_astar,1,4.47213595499958,0,0.04809998790733516,3,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
ablation_no_adaptive,1,4.47213595499958,0,0.04470002022571862,3,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
ablation_no_jump,1,4.47213595499958,0,0.030800001695752144,5,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
ablation_no_smoothing,1,4.82842712474619,1,0.04650000482797623,3,arena.map,49,0.1445231153685964,16,16,arena.map.scen,1,4.82842712
dijkstra,1,6.242640687119285,1,0.36189999082125723,95,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
astar,1,6.242640687119286,1,0.03610001294873655,6,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
weighted_astar,1,6.242640687119286,1,0.03339999238960445,6,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
jps_like,1,6.242640687119285,1,0.06019999273121357,4,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
improved_astar,1,5.830951894845301,0,0.042899977415800095,3,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
ablation_no_adaptive,1,5.830951894845301,0,0.04099999205209315,3,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
ablation_no_jump,1,5.830951894845301,0,0.035500008380040526,6,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
ablation_no_smoothing,1,6.242640687119285,1,0.04309997893869877,3,arena.map,49,0.1445231153685964,17,17,arena.map.scen,1,6.24264069
dijkstra,1,4.414213562373095,1,0.23040000814944506,59,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
astar,1,4.414213562373095,1,0.0405999890062958,8,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
weighted_astar,1,4.414213562373095,1,0.026699999580159783,5,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
jps_like,1,4.414213562373095,1,0.13310002395883203,8,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
improved_astar,1,4.123105625617661,0,0.05259999306872487,3,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
ablation_no_adaptive,1,4.123105625617661,0,0.05740000051446259,3,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
ablation_no_jump,1,4.123105625617661,0,0.03510000533424318,5,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
ablation_no_smoothing,1,4.414213562373095,1,0.05360000068321824,3,arena.map,49,0.1445231153685964,18,18,arena.map.scen,1,4.41421356
dijkstra,1,4.242640687119286,0,0.27069999487139285,51,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
astar,1,4.242640687119286,0,0.033100019209086895,4,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
weighted_astar,1,4.242640687119286,0,0.02710000262595713,4,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
jps_like,1,4.242640687119285,0,0.0323000131174922,2,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
improved_astar,1,4.242640687119285,0,0.03060000017285347,2,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
ablation_no_adaptive,1,4.242640687119285,0,0.0281000102404505,2,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
ablation_no_jump,1,4.242640687119285,0,0.030099996365606785,4,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
ablation_no_smoothing,1,4.242640687119285,0,0.030099996365606785,2,arena.map,49,0.1445231153685964,19,19,arena.map.scen,1,4.24264069
dijkstra,1,9.899494936611667,0,0.4678000113926828,109,arena.map,49,0.1445231153685964,20,20,arena.map.scen,2,9.89949493
astar,1,9.899494936611667,0,0.06059999577701092,8,arena.map,49,0.1445231153685964,20,20,arena.map.scen,2,9.89949493
