map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
arena.map,49,0.1445231153685964,dijkstra,30,1,0.563166664990907,0.6226628705886501,5.960779216362095,1.0333333333333334,105.93333333333334
arena.map,49,0.1445231153685964,astar,30,1,0.05708000195833544,0.07336578502937648,5.960779216362095,1.1666666666666667,6.933333333333334
arena.map,49,0.1445231153685964,weighted_astar,30,1,0.04169000021647662,0.037316915644285485,5.960779216362095,0.8666666666666667,5.966666666666667
arena.map,49,0.1445231153685964,jps_like,30,1,0.10597000267201413,0.12658234364197324,5.960779216362095,1.4,5.466666666666667
arena.map,49,0.1445231153685964,improved_astar,30,1,0.0636400004926448,0.042902420308476394,5.619490684352613,0.03333333333333333,3.3666666666666667
arena.map,49,0.1445231153685964,ablation_no_adaptive,30,1,0.06332666768381993,0.03989474687225826,5.619490684352613,0.03333333333333333,3.3666666666666667
arena.map,49,0.1445231153685964,ablation_no_jump,30,1,0.045043330950041614,0.028550035839812322,5.659387215784249,0.06666666666666667,5.966666666666667
arena.map,49,0.1445231153685964,ablation_no_smoothing,30,1,0.06827000082315256,0.051787435383115005,5.960779216362095,1.1666666666666667,3.3666666666666667
arena2.map,281,0.5860477787805003,dijkstra,30,1,0.6208299998737251,0.5750296555156218,6.391743622633245,0.9,126.36666666666666
arena2.map,281,0.5860477787805003,astar,30,1,0.06912666528175275,0.05924299301254332,6.391743622633245,1.3666666666666667,8.666666666666666
arena2.map,281,0.5860477787805003,weighted_astar,30,1,0.05011333463092645,0.03164925519047119,6.391743622633246,0.9,6.7
arena2.map,281,0.5860477787805003,jps_like,30,1,0.14608333294745535,0.11344049612984383,6.391743622633245,1.8333333333333333,7.433333333333334
arena2.map,281,0.5860477787805003,improved_astar,30,1,0.2259133344826599,0.16270022869587963,6.132069114028912,0.1,13.233333333333333
arena2.map,281,0.5860477787805003,ablation_no_adaptive,30,1,0.07337333033016573,0.04514260204493822,6.133454831958846,0.1,4.033333333333333
arena2.map,281,0.5860477787805003,ablation_no_jump,30,1,0.08726666371027629,0.06365714467456218,6.133454831958846,0.1,13.233333333333333
arena2.map,281,0.5860477787805003,ablation_no_smoothing,30,1,0.2363933347320805,0.18524111706591195,6.391743622633245,1.4,13.233333333333333
brc000d.map,261,0.5682126511322808,dijkstra,30,1,0.6271000049309805,0.6056736431982278,6.222708028904396,0.9333333333333333,121.76666666666667
brc000d.map,261,0.5682126511322808,astar,30,1,0.057246670864212014,0.04603988583823293,6.222708028904396,1.2333333333333334,7.3
brc000d.map,261,0.5682126511322808,weighted_astar,30,1,0.04515666708660623,0.034077828981489054,6.222708028904396,0.9333333333333333,6.533333333333333
brc000d.map,261,0.5682126511322808,jps_like,30,1,0.09251333540305495,0.07827858995023522,6.222708028904396,1.4333333333333333,5.333333333333333
brc000d.map,261,0.5682126511322808,improved_astar,30,1,0.2328300014293442,0.18400953090953126,5.8911547412265195,0.06666666666666667,14.366666666666667
brc000d.map,261,0.5682126511322808,ablation_no_adaptive,30,1,0.06728666776325554,0.0573787416849623,5.894053779488689,0.06666666666666667,3.433333333333333
brc000d.map,261,0.5682126511322808,ablation_no_jump,30,1,0.09433999948669225,0.0846049618403747,5.894053779488689,0.06666666666666667,14.366666666666667
brc000d.map,261,0.5682126511322808,ablation_no_smoothing,30,1,0.2493700012564659,0.20683936592587662,6.222708028904396,1.4,14.366666666666667
brc100d.map,512,0.8768459413109756,dijkstra,30,1,0.616836665237012,0.6270951581380091,6.138884074712348,0.8666666666666667,114.36666666666666
brc100d.map,512,0.8768459413109756,astar,30,1,0.06216666952241212,0.03924174958078919,6.138884074712348,1,7.8
brc100d.map,512,0.8768459413109756,weighted_astar,30,1,0.05058999619601915,0.034797043840952536,6.138884074712349,0.7,6.2
brc100d.map,512,0.8768459413109756,jps_like,30,1,0.11963333139040817,0.10595392567094147,6.138884074712348,1.1,5.766666666666667
brc100d.map,512,0.8768459413109756,improved_astar,30,1,0.26295333324621123,0.23802773806927044,5.819984521346584,0,14.133333333333333
brc100d.map,512,0.8768459413109756,ablation_no_adaptive,30,1,0.061756664460214473,0.03544013481932215,5.819984521346584,0,3.3
brc100d.map,512,0.8768459413109756,ablation_no_jump,30,1,0.09002333196500938,0.07691517752313805,5.819984521346584,0,14.133333333333333
brc100d.map,512,0.8768459413109756,ablation_no_smoothing,30,1,0.25077666408227134,0.2261361804664484,6.138884074712348,1.1,14.133333333333333
brc101d.map,639,0.8782195487741262,dijkstra,30,1,0.5255133311341827,0.44085691629679197,6.052691193458118,1.0666666666666667,110.5
brc101d.map,639,0.8782195487741262,astar,30,1,0.06334000111867984,0.04418146170029881,6.052691193458118,1.3666666666666667,8.8
brc101d.map,639,0.8782195487741262,weighted_astar,30,1,0.04282999725546688,0.025325550182597304,6.052691193458119,0.7666666666666667,6.1
brc101d.map,639,0.8782195487741262,jps_like,30,1,0.12480667016158502,0.09877208129123556,6.052691193458118,1.6,7.5
brc101d.map,639,0.8782195487741262,improved_astar,30,1,0.2463266660925001,0.191763317806837,5.718481607708424,0,14.066666666666666
brc101d.map,639,0.8782195487741262,ablation_no_adaptive,30,1,0.061566668834226825,0.027033819329412095,5.718481607708424,0,3.466666666666667
brc101d.map,639,0.8782195487741262,ablation_no_jump,30,1,0.08177000078527878,0.060759062102133714,5.718481607708424,0,14.066666666666666
brc101d.map,639,0.8782195487741262,ablation_no_smoothing,30,1,0.2522533361722405,0.21457633130415166,6.052691193458118,1.3666666666666667,14.066666666666666
