algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.0,0,0.09880002471618354,10,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.02540001878514886,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.017099984688684344,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.03270001616328955,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.05059997783973813,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.02609999501146376,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.029699993319809437,3,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.049700000090524554,2,Berlin_0_1024.map,1024,0.24206924438476562,0,0,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.0,0,0.05819997750222683,12,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
astar,1,2.0,0,0.018000020645558834,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
weighted_astar,1,2.0,0,0.014699995517730713,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
jps_like,1,2.0,0,0.04549999721348286,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
improved_astar,1,2.0,0,0.044599990360438824,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.025100016500800848,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_jump,1,2.0,0,0.0323000131174922,3,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.043100008042529225,2,Berlin_0_1024.map,1024,0.24206924438476562,1,1,Berlin_0_1024.map.scen,0,2.0
dijkstra,1,2.414213562373095,1,0.15279999934136868,19,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.03580001066438854,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.03440000000409782,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.0737000082153827,4,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.05520001286640763,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.04610000178217888,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_jump,1,2.23606797749979,0,0.03369999467395246,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.0610999995842576,3,Berlin_0_1024.map,1024,0.24206924438476562,2,2,Berlin_0_1024.map.scen,0,2.41421356
dijkstra,1,2.414213562373095,1,0.08069997420534492,18,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.01829999382607639,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.057900004321709275,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
jps_like,1,2.414213562373095,1,0.053099996875971556,3,Berlin_0_1024.map,1024,0.24206924438476562,3,3,Berlin_0_1024.map.scen,0,2.41421356
