algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,scenario_file,scenario_bucket,scenario_optlen
dijkstra,1,2.414213562373095,1,0.6531000253744423,19,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
astar,1,2.414213562373095,1,0.1540999801363796,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
weighted_astar,1,2.414213562373095,1,0.09730001329444349,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
improved_astar,1,2.23606797749979,0,0.12469998910091817,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_adaptive,1,2.23606797749979,0,0.07789998198859394,3,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
ablation_no_smoothing,1,2.414213562373095,1,0.09820002014748752,4,battleground.map,512,0.6480255126953125,0,0,battleground.map.scen,0,2.41421356
dijkstra,1,2.0,0,0.16399999731220305,10,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
astar,1,2.0,0,0.07160002132877707,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
weighted_astar,1,2.0,0,0.06239998037926853,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
improved_astar,1,2.0,0,0.21749999723397195,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.1086000120267272,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.0923000043258071,3,battleground.map,512,0.6480255126953125,1,1,battleground.map.scen,0,2.0
dijkstra,1,0.0,0,0.006500020390376449,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
astar,1,0.0,0,0.0032999960239976645,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
weighted_astar,1,0.0,0,0.002500019036233425,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
improved_astar,1,0.0,0,0.0031999952625483274,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_adaptive,1,0.0,0,0.0022999884095042944,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
ablation_no_smoothing,1,0.0,0,0.0036999990697950125,1,battleground.map,512,0.6480255126953125,2,2,battleground.map.scen,0,0.0
dijkstra,1,3.414213562373095,1,0.7541999802924693,37,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.18900001305155456,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.12730000889860094,4,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.17970000044442713,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
ablation_no_adaptive,1,3.1622776601683795,0,0.10340000153519213,4,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
ablation_no_smoothing,1,3.414213562373095,1,0.11470000026747584,6,battleground.map,512,0.6480255126953125,3,3,battleground.map.scen,0,3.41421356
dijkstra,1,2.8284271247461903,0,0.3929999948013574,23,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
astar,1,2.8284271247461903,0,0.08600001456215978,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
weighted_astar,1,2.8284271247461903,0,0.0771000050008297,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
improved_astar,1,2.8284271247461903,0,0.09360001422464848,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
ablation_no_adaptive,1,2.8284271247461903,0,0.06719998782500625,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
ablation_no_smoothing,1,2.8284271247461903,0,0.22950000129640102,3,battleground.map,512,0.6480255126953125,4,4,battleground.map.scen,0,2.82842712
dijkstra,1,3.414213562373095,1,0.9041000157594681,37,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
astar,1,3.414213562373095,1,0.10679999832063913,6,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
weighted_astar,1,3.414213562373095,1,0.06930000381544232,4,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
improved_astar,1,3.1622776601683795,0,0.10350000229664147,6,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
ablation_no_adaptive,1,3.1622776601683795,0,0.06920000305399299,4,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
ablation_no_smoothing,1,3.414213562373095,1,0.11340001947246492,6,battleground.map,512,0.6480255126953125,5,5,battleground.map.scen,0,3.41421356
dijkstra,1,1.4142135623730951,0,0.09049999061971903,6,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
astar,1,1.4142135623730951,0,0.03239998477511108,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
weighted_astar,1,1.4142135623730951,0,0.025299988919869065,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
improved_astar,1,1.4142135623730951,0,0.029199989512562752,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
ablation_no_adaptive,1,1.4142135623730951,0,0.024800014216452837,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
ablation_no_smoothing,1,1.4142135623730951,0,0.05080000846646726,2,battleground.map,512,0.6480255126953125,6,6,battleground.map.scen,0,1.41421356
dijkstra,1,2.8284271247461903,0,0.3420999855734408,21,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
astar,1,2.8284271247461903,0,0.0771000050008297,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
weighted_astar,1,2.8284271247461903,0,0.05520001286640763,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
improved_astar,1,2.8284271247461903,0,0.3080999886151403,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
ablation_no_adaptive,1,2.8284271247461903,0,0.15579999308101833,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
ablation_no_smoothing,1,2.8284271247461903,0,0.1084999821614474,3,battleground.map,512,0.6480255126953125,7,7,battleground.map.scen,0,2.82842712
dijkstra,1,2.0,0,0.30189999961294234,12,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
astar,1,2.0,0,0.12240000069141388,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
weighted_astar,1,2.0,0,0.09580000187270343,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
improved_astar,1,2.0,0,0.07919999188743532,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
ablation_no_adaptive,1,2.0,0,0.1742999884299934,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
ablation_no_smoothing,1,2.0,0,0.1309000072069466,3,battleground.map,512,0.6480255126953125,8,8,battleground.map.scen,0,2.0
