algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
dijkstra,1,14.828427124746192,4,0.913099996978417,221,20,0.3,0,0,42
astar,1,14.828427124746192,4,0.1652999926591292,31,20,0.3,0,0,42
weighted_astar,1,15.071067811865476,5,0.101599987829104,20,20,0.3,0,0,42
jps_like,1,14.828427124746192,5,0.5882000114070252,31,20,0.3,0,0,42
improved_astar,1,13.990704784914572,2,0.2575000107754022,16,20,0.3,0,0,42
dijkstra,1,12.485281374238571,5,0.6826000026194379,184,20,0.3,1,1,42
astar,1,12.485281374238571,3,0.0644999963697046,11,20,0.3,1,1,42
weighted_astar,1,12.485281374238571,2,0.0588999973842874,11,20,0.3,1,1,42
jps_like,1,12.485281374238571,4,0.080300000263378,6,20,0.3,1,1,42
improved_astar,1,11.772699034745347,1,0.0620000064373016,5,20,0.3,1,1,42
dijkstra,1,6.65685424949238,1,0.2937999961432069,79,20,0.3,2,2,42
astar,1,6.656854249492381,2,0.0357999961124733,6,20,0.3,2,2,42
weighted_astar,1,6.656854249492381,2,0.0325000000884756,6,20,0.3,2,2,42
jps_like,1,6.65685424949238,2,0.0484999909531325,4,20,0.3,2,2,42
improved_astar,1,6.4031242374328485,0,0.0482000032206997,4,20,0.3,2,2,42
dijkstra,1,17.899494936611667,7,1.2271000014152378,223,20,0.3,3,3,42
astar,1,17.899494936611667,9,0.2438000083202496,41,20,0.3,3,3,42
weighted_astar,1,17.899494936611667,9,0.1093000028049573,24,20,0.3,3,3,42
jps_like,1,17.899494936611667,7,0.3809999907389283,41,20,0.3,3,3,42
improved_astar,1,15.52145126328583,5,0.2192999963881448,22,20,0.3,3,3,42
dijkstra,1,18.899494936611667,5,0.7366000063484535,213,20,0.3,4,4,42
astar,1,18.899494936611667,7,0.1625000004423782,38,20,0.3,4,4,42
weighted_astar,1,20.55634918610405,6,0.1103999966289848,27,20,0.3,4,4,42
jps_like,1,18.899494936611667,6,0.2594999969005584,28,20,0.3,4,4,42
improved_astar,1,17.797928231006722,4,0.2196999994339421,27,20,0.3,4,4,42
dijkstra,1,3.82842712474619,2,0.1291999942623078,35,20,0.3,5,5,42
astar,1,3.82842712474619,2,0.033500007702969,4,20,0.3,5,5,42
weighted_astar,1,3.82842712474619,2,0.039999998989515,4,20,0.3,5,5,42
jps_like,1,3.82842712474619,2,0.0788999896030873,4,20,0.3,5,5,42
improved_astar,1,3.6502815398728847,1,0.0438999995822086,4,20,0.3,5,5,42
dijkstra,1,13.242640687119284,5,0.5367999983718619,148,20,0.3,6,6,42
astar,1,13.242640687119284,5,0.0944000057643279,23,20,0.3,6,6,42
weighted_astar,1,13.242640687119284,4,0.0602000072831288,15,20,0.3,6,6,42
jps_like,1,13.242640687119284,5,0.1773999974830076,23,20,0.3,6,6,42
improved_astar,1,12.082762530298218,2,0.0930999958654865,11,20,0.3,6,6,42
dijkstra,1,3.414213562373095,2,0.1053999876603484,27,20,0.3,7,7,42
astar,1,3.414213562373095,1,0.02219999441877,5,20,0.3,7,7,42
weighted_astar,1,3.414213562373095,1,0.0163000077009201,4,20,0.3,7,7,42
jps_like,1,3.414213562373095,1,0.0460000010207295,5,20,0.3,7,7,42
improved_astar,1,3.1622776601683795,0,0.0301999971270561,3,20,0.3,7,7,42
dijkstra,1,14.65685424949238,4,0.7658999966224656,234,20,0.3,8,8,42
astar,1,14.65685424949238,4,0.1221999991685152,28,20,0.3,8,8,42
weighted_astar,1,14.65685424949238,4,0.0815999956103041,18,20,0.3,8,8,42
jps_like,1,14.65685424949238,4,0.265499998931773,28,20,0.3,8,8,42
improved_astar,1,13.924381783261998,3,0.0894999975571408,8,20,0.3,8,8,42
dijkstra,1,13.656854249492383,5,0.4704000020865351,114,20,0.3,9,9,42
astar,1,13.656854249492383,5,0.1638000103412196,36,20,0.3,9,9,42
weighted_astar,1,13.656854249492383,4,0.0822000001790002,18,20,0.3,9,9,42
jps_like,1,13.65685424949238,6,0.316299992846325,35,20,0.3,9,9,42
improved_astar,1,12.233345472033855,2,0.1179000100819394,12,20,0.3,9,9,42
dijkstra,1,15.899494936611667,3,0.647299995762296,196,20,0.3,10,10,42
astar,1,15.899494936611667,3,0.1085999974748119,23,20,0.3,10,10,42
weighted_astar,1,15.899494936611667,4,0.0863000022945925,18,20,0.3,10,10,42
jps_like,1,15.899494936611664,4,0.1440000050934031,12,20,0.3,10,10,42
improved_astar,1,15.645764924552132,2,0.1058999914675951,9,20,0.3,10,10,42
dijkstra,1,5.242640687119286,1,0.1755999983288347,51,20,0.3,11,11,42
astar,1,5.242640687119286,1,0.0257999927271157,6,20,0.3,11,11,42
weighted_astar,1,5.242640687119286,1,0.0205999967874959,5,20,0.3,11,11,42
jps_like,1,5.242640687119285,1,0.043399995774962,6,20,0.3,11,11,42
improved_astar,1,5.06449510224598,1,0.0230000005103647,3,20,0.3,11,11,42
dijkstra,1,4.82842712474619,1,0.1013000000966712,29,20,0.3,12,12,42
astar,1,4.82842712474619,1,0.0252000027103349,5,20,0.3,12,12,42
weighted_astar,1,4.82842712474619,1,0.0256999919656664,5,20,0.3,12,12,42
jps_like,1,4.82842712474619,1,0.0273999903583899,3,20,0.3,12,12,42
improved_astar,1,4.47213595499958,0,0.0282999972114339,3,20,0.3,12,12,42
dijkstra,1,14.242640687119286,5,0.8846999990055338,250,20,0.3,13,13,42
astar,1,14.242640687119286,5,0.1164999994216486,24,20,0.3,13,13,42
weighted_astar,1,15.071067811865476,7,0.0849999923957511,18,20,0.3,13,13,42
jps_like,1,14.242640687119286,6,0.2426999999443069,24,20,0.3,13,13,42
improved_astar,1,13.12310562561766,2,0.1708000054350122,16,20,0.3,13,13,42
dijkstra,1,16.899494936611667,6,0.9646999969845638,266,20,0.3,14,14,42
astar,1,16.899494936611667,6,0.124600002891384,25,20,0.3,14,14,42
weighted_astar,1,16.899494936611667,8,0.1022999931592494,15,20,0.3,14,14,42
