algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,14.828427124746192,4,1.1073139612562954,221,20,0.3,0,0
astar,1,14.828427124746192,4,0.22221304243430495,31,20,0.3,0,0
weighted_astar,1,15.071067811865477,5,0.13981398660689592,20,20,0.3,0,0
jps_like,1,14.828427124746192,5,0.5634590052068233,31,20,0.3,0,0
improved_astar,1,13.990704784914572,2,0.3001110162585974,16,20,0.3,0,0
dijkstra,1,12.485281374238571,5,0.8690499817021191,184,20,0.3,1,1
astar,1,12.485281374238571,3,0.09112199768424034,11,20,0.3,1,1
weighted_astar,1,12.485281374238571,2,0.10719598503783345,11,20,0.3,1,1
jps_like,1,12.485281374238571,4,0.12831803178414702,6,20,0.3,1,1
improved_astar,1,11.772699034745349,1,0.09524804772809148,5,20,0.3,1,1
dijkstra,1,6.65685424949238,1,0.448009988758713,79,20,0.3,2,2
astar,1,6.656854249492381,2,0.07054599700495601,6,20,0.3,2,2
weighted_astar,1,6.656854249492381,2,0.04879303742200136,6,20,0.3,2,2
jps_like,1,6.65685424949238,2,0.0752639607526362,4,20,0.3,2,2
improved_astar,1,6.4031242374328485,0,0.08734804578125477,4,20,0.3,2,2
dijkstra,1,17.899494936611667,7,1.0512080043554306,223,20,0.3,3,3
astar,1,17.899494936611667,9,0.3046229830943048,41,20,0.3,3,3
weighted_astar,1,17.899494936611667,9,0.16803399194031954,24,20,0.3,3,3
jps_like,1,17.899494936611667,7,0.5559180281125009,41,20,0.3,3,3
improved_astar,1,15.52145126328583,5,0.33020199043676257,22,20,0.3,3,3
dijkstra,1,18.899494936611667,5,0.9720200323499739,213,20,0.3,4,4
astar,1,18.899494936611667,7,0.24378998205065727,38,20,0.3,4,4
weighted_astar,1,20.55634918610405,6,0.18654600717127323,27,20,0.3,4,4
jps_like,1,18.899494936611667,6,0.35832799039781094,28,20,0.3,4,4
improved_astar,1,17.797928231006722,4,0.3616700414568186,27,20,0.3,4,4
dijkstra,1,48.35533905932736,15,5.306788021698594,1063,40,0.3,0,0
astar,1,48.35533905932736,15,1.089727971702814,166,40,0.3,0,0
weighted_astar,1,48.941125496954285,14,0.3384980373084545,43,40,0.3,0,0
jps_like,1,48.355339059327356,15,2.3788840044289827,177,40,0.3,0,0
improved_astar,1,46.718833461007634,9,0.5998780252411962,39,40,0.3,0,0
dijkstra,1,20.72792206135786,10,2.5696519878692925,564,40,0.3,1,1
astar,1,20.72792206135786,9,0.17496501095592976,24,40,0.3,1,1
weighted_astar,1,20.72792206135786,5,0.1485549728386104,19,40,0.3,1,1
jps_like,1,20.727922061357855,8,0.24901703000068665,15,40,0.3,1,1
improved_astar,1,19.360657571709496,2,0.1749119837768376,9,40,0.3,1,1
dijkstra,1,19.899494936611667,8,1.682153029832989,338,40,0.3,2,2
astar,1,19.899494936611667,7,0.19589799921959639,26,40,0.3,2,2
weighted_astar,1,20.72792206135786,8,0.1622209674678743,20,40,0.3,2,2
jps_like,1,19.899494936611667,9,0.36216701846569777,23,40,0.3,2,2
improved_astar,1,18.758545018230862,4,0.21527300123125315,12,40,0.3,2,2
dijkstra,1,35.87005768508881,13,3.950545971747488,844,40,0.3,3,3
astar,1,35.87005768508881,12,0.4712690133601427,69,40,0.3,3,3
weighted_astar,1,35.87005768508881,12,0.2936339587904513,40,40,0.3,3,3
jps_like,1,35.8700576850888,16,0.5623970064334571,38,40,0.3,3,3
improved_astar,1,34.02154427402941,5,0.5028179730288684,32,40,0.3,3,3
dijkstra,1,35.89949493661166,9,4.391332971863449,931,40,0.3,4,4
astar,1,35.89949493661166,9,0.7893709698691964,117,40,0.3,4,4
weighted_astar,1,36.72792206135785,12,0.287633971311152,41,40,0.3,4,4
jps_like,1,35.89949493661166,6,1.2803899589926004,86,40,0.3,4,4
improved_astar,1,35.127715410037254,8,0.4050610004924238,22,40,0.3,4,4
