algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,7.65685424949238,4,0.19589999283198267,56,20,0.3,0,0
astar,1,7.65685424949238,4,0.03860000288113952,8,20,0.3,0,0
weighted_astar,1,7.65685424949238,3,0.027000001864507794,7,20,0.3,0,0
jps_like,1,7.65685424949238,4,0.05319999763742089,7,20,0.3,0,0
improved_astar,1,7.0710678118654755,1,0.03640000068116933,5,20,0.3,0,0
dijkstra,1,4.82842712474619,2,0.05319999763742089,19,20,0.3,1,1
astar,1,4.82842712474619,2,0.026399997295811772,7,20,0.3,1,1
weighted_astar,1,4.82842712474619,1,0.01920000067912042,5,20,0.3,1,1
jps_like,1,4.82842712474619,2,0.050700007705017924,7,20,0.3,1,1
improved_astar,1,4.82842712474619,1,0.021800005924887955,3,20,0.3,1,1
dijkstra,1,10.242640687119286,4,0.3632000007200986,125,20,0.3,2,2
astar,1,10.242640687119286,4,0.08600000001024455,23,20,0.3,2,2
weighted_astar,1,10.242640687119286,4,0.05080000846646726,12,20,0.3,2,2
jps_like,1,10.242640687119286,4,0.18089999502990395,23,20,0.3,2,2
improved_astar,1,9.23606797749979,2,0.06350000330712646,7,20,0.3,2,2
dijkstra,1,7.82842712474619,4,0.45959999260958284,110,20,0.3,3,3
astar,1,7.82842712474619,4,0.07389999518636614,16,20,0.3,3,3
weighted_astar,1,7.82842712474619,4,0.048000001697801054,11,20,0.3,3,3
jps_like,1,7.82842712474619,4,0.18570000247564167,16,20,0.3,3,3
improved_astar,1,7.47213595499958,3,0.11119998816866428,11,20,0.3,3,3
dijkstra,1,8.65685424949238,4,0.3251000016462058,111,20,0.3,4,4
astar,1,8.65685424949238,4,0.050000002374872565,12,20,0.3,4,4
weighted_astar,1,8.65685424949238,5,0.032500000088475645,8,20,0.3,4,4
jps_like,1,8.65685424949238,3,0.09329999738838524,12,20,0.3,4,4
improved_astar,1,7.576491222541474,2,0.05189998773857951,6,20,0.3,4,4
dijkstra,1,12.242640687119286,5,0.2589000068837777,75,20,0.3,5,5
astar,1,12.242640687119286,5,0.08269998943433166,23,20,0.3,5,5
weighted_astar,1,12.242640687119287,5,0.04610000178217888,12,20,0.3,5,5
jps_like,1,12.242640687119286,6,0.14899999951012433,23,20,0.3,5,5
improved_astar,1,11.082762530298218,2,0.0813999940874055,11,20,0.3,5,5
dijkstra,1,17.65685424949238,5,0.5911999905947596,203,20,0.3,6,6
astar,1,17.65685424949238,3,0.10150000161956996,24,20,0.3,6,6
