size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
20,0.3,runtime_ms,astar,30,0.09835999905286975,0.10451333558497326,-0.006153336532103509,5.887608980866003,0.7256548690261948,0,0.7655260156759858,0
20,0.3,path_length,astar,30,11.447764603299317,12.297294364012263,-0.8495297607129455,6.90826563604978,0.5344931013797241,0,0.72901281812603,0
20,0.3,turn_count,astar,30,2.1333333333333333,4.366666666666666,-2.233333333333333,51.14503816793893,0.0007998400319936012,1,0.005118976204759048,1
20,0.3,runtime_ms,weighted_astar,30,0.09835999905286975,0.06665333348792044,0.03170666556494932,-47.56951213954739,0.020595880823835233,1,0.06817946755476491,0
20,0.3,path_length,weighted_astar,30,11.447764603299317,12.388225099390858,-0.940460496091541,7.591567706803976,0.47890421915616876,0,0.72901281812603,0
20,0.3,turn_count,weighted_astar,30,2.1333333333333333,4.3,-2.1666666666666665,50.3875968992248,0.0009998000399920016,1,0.00599880023995201,1
20,0.3,runtime_ms,jps_like,30,0.09835999905286975,0.17003333341563118,-0.07167333436276142,42.152519698924216,0.004199160167966407,1,0.019196160767846433,1
20,0.3,path_length,jps_like,30,11.447764603299317,12.297294364012263,-0.8495297607129455,6.90826563604978,0.5410917816436712,0,0.72901281812603,0
20,0.3,turn_count,jps_like,30,2.1333333333333333,4.233333333333333,-2.1,49.60629921259843,0.0011997600479904018,1,0.00639872025594881,1
20,0.3,runtime_ms,dijkstra,30,0.09835999905286975,0.511623334508234,-0.4132633354553643,80.77491927779015,0.0001999600079984003,1,0.001919616076784643,1
20,0.3,path_length,dijkstra,30,11.447764603299317,12.297294364012263,-0.8495297607129455,6.90826563604978,0.5410917816436712,0,0.72901281812603,0
20,0.3,turn_count,dijkstra,30,2.1333333333333333,3.966666666666667,-1.8333333333333335,46.21848739495798,0.004199160167966407,1,0.019196160767846433,1
20,0.7,runtime_ms,astar,30,0.04488666551575681,0.027743332126798678,0.017143333388958133,-61.792625740145056,0.3935212957408518,0,0.6868735343840323,0
20,0.7,path_length,astar,30,4.881506957376885,5.582674358011841,-0.7011674006349562,12.559704465453777,0.6156768646270746,0,0.72901281812603,0
20,0.7,turn_count,astar,30,1.5,2.2333333333333334,-0.7333333333333334,32.83582089552239,0.3075384923015397,0,0.5677633704028425,0
20,0.7,runtime_ms,weighted_astar,30,0.04488666551575681,0.025653334159869652,0.01923333135588716,-74.9740023500512,0.32473505298940214,0,0.5881993412638227,0
20,0.7,path_length,weighted_astar,30,4.881506957376885,5.582674358011841,-0.7011674006349562,12.559704465453777,0.6310737852429514,0,0.72901281812603,0
