size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
20,0.3,dijkstra,5,1,0.8895203936845064,0.2348333823477911,14.153910524340095,4.4,184
20,0.3,astar,5,1,0.18645880045369267,0.09061223783538641,14.153910524340095,5,25.4
20,0.3,weighted_astar,5,1,0.1300766016356647,0.04869273936335183,14.53380951166243,4.8,17.6
20,0.3,jps_like,5,1,0.3362574032507837,0.20577406449599958,14.153910524340095,4.8,22
20,0.3,improved_astar,5,1,0.23491582833230495,0.11889477292807865,13.097181510277064,2.4,14.8
40,0.3,dijkstra,5,1,3.5800943966023624,1.296147257338285,32.150461735799475,11,748
40,0.3,astar,5,1,0.5442461930215359,0.352328611214611,32.150461735799475,10.4,80.4
40,0.3,weighted_astar,5,1,0.2461083815433085,0.07625309092858172,32.59898987322333,10.2,32.6
40,0.3,jps_like,5,1,0.966571003664285,0.7920422780804368,32.15046173579947,10.8,67.8
40,0.3,improved_astar,5,1,0.3795883967541158,0.1632506573733288,30.797459147002932,5.6,22.8
